id,case_id,rater_id,fold,rating,error-rating,q_ir,ai_probability_class_1,ai_predicted_class,rater_ai_disagreement,ai_probability_rater_wrong,ai_margin,rating-confidence,case-difficulty,rater-expertise,rater-accuracy,rater-confidence,probability_source,ai_decision_threshold
2-4,2,4,5,1,0,0.1494578719139099,0.8505421280860901,1,0,0.1494578719139099,0.3505421280860901,3,4,3,0.8618266978922717,4.583138173302108,nested_oof,0.5
2-5,2,5,5,0,1,0.8505421280860901,0.8505421280860901,1,1,0.8505421280860901,0.3505421280860901,4,4,3,0.7868852459016393,3.962529274004684,nested_oof,0.5
2-6,2,6,5,1,0,0.1494578719139099,0.8505421280860901,1,0,0.1494578719139099,0.3505421280860901,4,3,2,0.7915690866510539,3.7353629976580796,nested_oof,0.5
2-7,2,7,5,0,1,0.8505421280860901,0.8505421280860901,1,1,0.8505421280860901,0.3505421280860901,4,3,2,0.8407494145199064,3.540983606557377,nested_oof,0.5
2-8,2,8,5,0,1,0.8505421280860901,0.8505421280860901,1,1,0.8505421280860901,0.3505421280860901,3,2,2,0.7985948477751756,2.791569086651054,nested_oof,0.5
2-9,2,9,5,1,0,0.1494578719139099,0.8505421280860901,1,0,0.1494578719139099,0.3505421280860901,5,3,4,0.819672131147541,4.285714285714286,nested_oof,0.5
2-10,2,10,5,1,0,0.1494578719139099,0.8505421280860901,1,0,0.1494578719139099,0.3505421280860901,3,3,4,0.775175644028103,3.4988290398126463,nested_oof,0.5
2-11,2,11,5,0,1,0.8505421280860901,0.8505421280860901,1,1,0.8505421280860901,0.3505421280860901,4,2,4,0.7892271662763466,3.782201405152225,nested_oof,0.5
2-12,2,12,5,0,1,0.8505421280860901,0.8505421280860901,1,1,0.8505421280860901,0.3505421280860901,5,2,4,0.8290398126463701,3.6721311475409837,nested_oof,0.5
3-0,3,0,3,0,0,0.1497360616922378,0.1497360616922378,0,0,0.1497360616922378,0.3502639383077622,5,2,4,0.810304449648712,4.3629976580796255,nested_oof,0.5
3-1,3,1,3,0,0,0.1497360616922378,0.1497360616922378,0,0,0.1497360616922378,0.3502639383077622,4,2,4,0.8126463700234192,4.02576112412178,nested_oof,0.5
3-2,3,2,3,0,0,0.1497360616922378,0.1497360616922378,0,0,0.1497360616922378,0.3502639383077622,4,2,4,0.7939110070257611,3.8454332552693207,nested_oof,0.5
3-3,3,3,3,0,0,0.1497360616922378,0.1497360616922378,0,0,0.1497360616922378,0.3502639383077622,4,2,4,0.8149882903981265,3.9555035128805622,nested_oof,0.5
3-4,3,4,3,0,0,0.1497360616922378,0.1497360616922378,0,0,0.1497360616922378,0.3502639383077622,4,2,3,0.8618266978922717,4.583138173302108,nested_oof,0.5
3-5,3,5,3,0,0,0.1497360616922378,0.1497360616922378,0,0,0.1497360616922378,0.3502639383077622,4,3,3,0.7868852459016393,3.962529274004684,nested_oof,0.5
3-6,3,6,3,1,1,0.8502639383077621,0.1497360616922378,0,1,0.8502639383077621,0.3502639383077622,4,3,2,0.7915690866510539,3.7353629976580796,nested_oof,0.5
3-7,3,7,3,0,0,0.1497360616922378,0.1497360616922378,0,0,0.1497360616922378,0.3502639383077622,5,1,2,0.8407494145199064,3.540983606557377,nested_oof,0.5
3-8,3,8,3,0,0,0.1497360616922378,0.1497360616922378,0,0,0.1497360616922378,0.3502639383077622,3,2,2,0.7985948477751756,2.791569086651054,nested_oof,0.5
3-9,3,9,3,0,0,0.1497360616922378,0.1497360616922378,0,0,0.1497360616922378,0.3502639383077622,4,3,4,0.819672131147541,4.285714285714286,nested_oof,0.5
3-10,3,10,3,0,0,0.1497360616922378,0.1497360616922378,0,0,0.1497360616922378,0.3502639383077622,4,2,4,0.775175644028103,3.4988290398126463,nested_oof,0.5
3-11,3,11,3,0,0,0.1497360616922378,0.1497360616922378,0,0,0.1497360616922378,0.3502639383077622,4,2,4,0.7892271662763466,3.782201405152225,nested_oof,0.5
3-12,3,12,3,0,0,0.1497360616922378,0.1497360616922378,0,0,0.1497360616922378,0.3502639383077622,4,2,4,0.8290398126463701,3.6721311475409837,nested_oof,0.5
4-0,4,0,4,0,0,0.0238545909523963,0.0238545909523963,0,0,0.0238545909523963,0.4761454090476037,5,2,4,0.810304449648712,4.3629976580796255,nested_oof,0.5
4-1,4,1,4,0,0,0.0238545909523963,0.0238545909523963,0,0,0.0238545909523963,0.4761454090476037,3,3,4,0.8126463700234192,4.02576112412178,nested_oof,0.5
4-2,4,2,4,0,0,0.0238545909523963,0.0238545909523963,0,0,0.0238545909523963,0.4761454090476037,5,2,4,0.7939110070257611,3.8454332552693207,nested_oof,0.5
4-3,4,3,4,1,1,0.9761454090476037,0.0238545909523963,0,1,0.9761454090476037,0.4761454090476037,4,2,4,0.8149882903981265,3.9555035128805622,nested_oof,0.5
4-4,4,4,4,0,0,0.0238545909523963,0.0238545909523963,0,0,0.0238545909523963,0.4761454090476037,4,3,3,0.8618266978922717,4.583138173302108,nested_oof,0.5
4-5,4,5,4,1,1,0.9761454090476037,0.0238545909523963,0,1,0.9761454090476037,0.4761454090476037,4,4,3,0.7868852459016393,3.962529274004684,nested_oof,0.5
4-6,4,6,4,1,1,0.9761454090476037,0.0238545909523963,0,1,0.9761454090476037,0.4761454090476037,4,3,2,0.7915690866510539,3.7353629976580796,nested_oof,0.5
4-7,4,7,4,0,0,0.0238545909523963,0.0238545909523963,0,0,0.0238545909523963,0.4761454090476037,4,3,2,0.8407494145199064,3.540983606557377,nested_oof,0.5
4-8,4,8,4,1,1,0.9761454090476037,0.0238545909523963,0,1,0.9761454090476037,0.4761454090476037,3,3,2,0.7985948477751756,2.791569086651054,nested_oof,0.5
4-9,4,9,4,0,0,0.0238545909523963,0.0238545909523963,0,0,0.0238545909523963,0.4761454090476037,4,3,4,0.819672131147541,4.285714285714286,nested_oof,0.5
4-10,4,10,4,0,0,0.0238545909523963,0.0238545909523963,0,0,0.0238545909523963,0.4761454090476037,3,3,4,0.775175644028103,3.4988290398126463,nested_oof,0.5
4-11,4,11,4,1,1,0.9761454090476037,0.0238545909523963,0,1,0.9761454090476037,0.4761454090476037,3,3,4,0.7892271662763466,3.782201405152225,nested_oof,0.5
4-12,4,12,4,1,1,0.9761454090476037,0.0238545909523963,0,1,0.9761454090476037,0.4761454090476037,4,3,4,0.8290398126463701,3.6721311475409837,nested_oof,0.5
5-0,5,0,4,0,0,0.3714230954647064,0.3714230954647064,0,0,0.3714230954647064,0.12857690453529358,5,2,4,0.810304449648712,4.3629976580796255,nested_oof,0.5
5-1,5,1,4,0,0,0.3714230954647064,0.3714230954647064,0,0,0.3714230954647064,0.12857690453529358,4,2,4,0.8126463700234192,4.02576112412178,nested_oof,0.5
5-2,5,2,4,0,0,0.3714230954647064,0.3714230954647064,0,0,0.3714230954647064,0.12857690453529358,4,2,4,0.7939110070257611,3.8454332552693207,nested_oof,0.5
5-3,5,3,4,0,0,0.3714230954647064,0.3714230954647064,0,0,0.3714230954647064,0.12857690453529358,4,3,4,0.8149882903981265,3.9555035128805622,nested_oof,0.5
5-4,5,4,4,0,0,0.3714230954647064,0.3714230954647064,0,0,0.3714230954647064,0.12857690453529358,4,4,3,0.8618266978922717,4.583138173302108,nested_oof,0.5
5-5,5,5,4,0,0,0.3714230954647064,0.3714230954647064,0,0,0.3714230954647064,0.12857690453529358,4,4,3,0.7868852459016393,3.962529274004684,nested_oof,0.5
5-6,5,6,4,1,1,0.6285769045352936,0.3714230954647064,0,1,0.6285769045352936,0.12857690453529358,4,3,2,0.7915690866510539,3.7353629976580796,nested_oof,0.5
5-7,5,7,4,0,0,0.3714230954647064,0.3714230954647064,0,0,0.3714230954647064,0.12857690453529358,5,2,2,0.8407494145199064,3.540983606557377,nested_oof,0.5
5-8,5,8,4,0,0,0.3714230954647064,0.3714230954647064,0,0,0.3714230954647064,0.12857690453529358,3,2,2,0.7985948477751756,2.791569086651054,nested_oof,0.5
5-9,5,9,4,0,0,0.3714230954647064,0.3714230954647064,0,0,0.3714230954647064,0.12857690453529358,4,3,4,0.819672131147541,4.285714285714286,nested_oof,0.5
5-10,5,10,4,0,0,0.3714230954647064,0.3714230954647064,0,0,0.3714230954647064,0.12857690453529358,3,2,4,0.775175644028103,3.4988290398126463,nested_oof,0.5
5-11,5,11,4,0,0,0.3714230954647064,0.3714230954647064,0,0,0.3714230954647064,0.12857690453529358,3,2,4,0.7892271662763466,3.782201405152225,nested_oof,0.5
5-12,5,12,4,0,0,0.3714230954647064,0.3714230954647064,0,0,0.3714230954647064,0.12857690453529358,4,2,4,0.8290398126463701,3.6721311475409837,nested_oof,0.5
6-0,6,0,1,0,0,0.8920695185661316,0.8920695185661316,1,1,0.8920695185661316,0.3920695185661316,5,2,4,0.810304449648712,4.3629976580796255,nested_oof,0.5
6-1,6,1,1,0,0,0.8920695185661316,0.8920695185661316,1,1,0.8920695185661316,0.3920695185661316,4,2,4,0.8126463700234192,4.02576112412178,nested_oof,0.5
6-2,6,2,1,0,0,0.8920695185661316,0.8920695185661316,1,1,0.8920695185661316,0.3920695185661316,4,2,4,0.7939110070257611,3.8454332552693207,nested_oof,0.5
6-3,6,3,1,0,0,0.8920695185661316,0.8920695185661316,1,1,0.8920695185661316,0.3920695185661316,5,1,4,0.8149882903981265,3.9555035128805622,nested_oof,0.5
6-4,6,4,1,0,0,0.8920695185661316,0.8920695185661316,1,1,0.8920695185661316,0.3920695185661316,4,2,3,0.8618266978922717,4.583138173302108,nested_oof,0.5
6-5,6,5,1,0,0,0.8920695185661316,0.8920695185661316,1,1,0.8920695185661316,0.3920695185661316,4,3,3,0.7868852459016393,3.962529274004684,nested_oof,0.5
6-6,6,6,1,1,1,0.10793048143386841,0.8920695185661316,1,0,0.10793048143386841,0.3920695185661316,4,3,2,0.7915690866510539,3.7353629976580796,nested_oof,0.5
6-7,6,7,1,0,0,0.8920695185661316,0.8920695185661316,1,1,0.8920695185661316,0.3920695185661316,4,3,2,0.8407494145199064,3.540983606557377,nested_oof,0.5
6-8,6,8,1,0,0,0.8920695185661316,0.8920695185661316,1,1,0.8920695185661316,0.3920695185661316,3,2,2,0.7985948477751756,2.791569086651054,nested_oof,0.5
6-9,6,9,1,0,0,0.8920695185661316,0.8920695185661316,1,1,0.8920695185661316,0.3920695185661316,4,3,4,0.819672131147541,4.285714285714286,nested_oof,0.5
6-10,6,10,1,1,1,0.10793048143386841,0.8920695185661316,1,0,0.10793048143386841,0.3920695185661316,3,3,4,0.775175644028103,3.4988290398126463,nested_oof,0.5
6-11,6,11,1,1,1,0.10793048143386841,0.8920695185661316,1,0,0.10793048143386841,0.3920695185661316,2,3,4,0.7892271662763466,3.782201405152225,nested_oof,0.5
6-12,6,12,1,0,0,0.8920695185661316,0.8920695185661316,1,1,0.8920695185661316,0.3920695185661316,5,2,4,0.8290398126463701,3.6721311475409837,nested_oof,0.5
7-0,7,0,4,0,0,0.0423028357326984,0.0423028357326984,0,0,0.0423028357326984,0.4576971642673016,5,2,4,0.810304449648712,4.3629976580796255,nested_oof,0.5
7-1,7,1,4,0,0,0.0423028357326984,0.0423028357326984,0,0,0.0423028357326984,0.4576971642673016,4,2,4,0.8126463700234192,4.02576112412178,nested_oof,0.5
7-2,7,2,4,0,0,0.0423028357326984,0.0423028357326984,0,0,0.0423028357326984,0.4576971642673016,4,2,4,0.7939110070257611,3.8454332552693207,nested_oof,0.5
7-3,7,3,4,0,0,0.0423028357326984,0.0423028357326984,0,0,0.0423028357326984,0.4576971642673016,4,3,4,0.8149882903981265,3.9555035128805622,nested_oof,0.5
7-4,7,4,4,0,0,0.0423028357326984,0.0423028357326984,0,0,0.0423028357326984,0.4576971642673016,4,3,3,0.8618266978922717,4.583138173302108,nested_oof,0.5
7-5,7,5,4,0,0,0.0423028357326984,0.0423028357326984,0,0,0.0423028357326984,0.4576971642673016,4,3,3,0.7868852459016393,3.962529274004684,nested_oof,0.5
7-6,7,6,4,1,1,0.9576971642673016,0.0423028357326984,0,1,0.9576971642673016,0.4576971642673016,3,3,2,0.7915690866510539,3.7353629976580796,nested_oof,0.5
7-7,7,7,4,0,0,0.0423028357326984,0.0423028357326984,0,0,0.0423028357326984,0.4576971642673016,5,2,2,0.8407494145199064,3.540983606557377,nested_oof,0.5
7-8,7,8,4,0,0,0.0423028357326984,0.0423028357326984,0,0,0.0423028357326984,0.4576971642673016,2,2,2,0.7985948477751756,2.791569086651054,nested_oof,0.5
7-9,7,9,4,0,0,0.0423028357326984,0.0423028357326984,0,0,0.0423028357326984,0.4576971642673016,4,3,4,0.819672131147541,4.285714285714286,nested_oof,0.5
7-10,7,10,4,1,1,0.9576971642673016,0.0423028357326984,0,1,0.9576971642673016,0.4576971642673016,2,3,4,0.775175644028103,3.4988290398126463,nested_oof,0.5
7-11,7,11,4,0,0,0.0423028357326984,0.0423028357326984,0,0,0.0423028357326984,0.4576971642673016,4,2,4,0.7892271662763466,3.782201405152225,nested_oof,0.5
7-12,7,12,4,0,0,0.0423028357326984,0.0423028357326984,0,0,0.0423028357326984,0.4576971642673016,4,2,4,0.8290398126463701,3.6721311475409837,nested_oof,0.5
8-0,8,0,3,1,0,0.17870908975601196,0.821290910243988,1,0,0.17870908975601196,0.32129091024398804,4,3,4,0.810304449648712,4.3629976580796255,nested_oof,0.5
8-1,8,1,3,1,0,0.17870908975601196,0.821290910243988,1,0,0.17870908975601196,0.32129091024398804,3,4,4,0.8126463700234192,4.02576112412178,nested_oof,0.5
8-2,8,2,3,1,0,0.17870908975601196,0.821290910243988,1,0,0.17870908975601196,0.32129091024398804,5,3,4,0.7939110070257611,3.8454332552693207,nested_oof,0.5
8-3,8,3,3,1,0,0.17870908975601196,0.821290910243988,1,0,0.17870908975601196,0.32129091024398804,5,1,4,0.8149882903981265,3.9555035128805622,nested_oof,0.5
8-4,8,4,3,1,0,0.17870908975601196,0.821290910243988,1,0,0.17870908975601196,0.32129091024398804,4,3,3,0.8618266978922717,4.583138173302108,nested_oof,0.5
8-5,8,5,3,1,0,0.17870908975601196,0.821290910243988,1,0,0.17870908975601196,0.32129091024398804,4,4,3,0.7868852459016393,3.962529274004684,nested_oof,0.5
8-6,8,6,3,1,0,0.17870908975601196,0.821290910243988,1,0,0.17870908975601196,0.32129091024398804,4,2,2,0.7915690866510539,3.7353629976580796,nested_oof,0.5
8-7,8,7,3,1,0,0.17870908975601196,0.821290910243988,1,0,0.17870908975601196,0.32129091024398804,5,2,2,0.8407494145199064,3.540983606557377,nested_oof,0.5
8-8,8,8,3,1,0,0.17870908975601196,0.821290910243988,1,0,0.17870908975601196,0.32129091024398804,3,2,2,0.7985948477751756,2.791569086651054,nested_oof,0.5
8-9,8,9,3,1,0,0.17870908975601196,0.821290910243988,1,0,0.17870908975601196,0.32129091024398804,4,3,4,0.819672131147541,4.285714285714286,nested_oof,0.5
8-10,8,10,3,1,0,0.17870908975601196,0.821290910243988,1,0,0.17870908975601196,0.32129091024398804,3,2,4,0.775175644028103,3.4988290398126463,nested_oof,0.5
8-11,8,11,3,1,0,0.17870908975601196,0.821290910243988,1,0,0.17870908975601196,0.32129091024398804,4,2,4,0.7892271662763466,3.782201405152225,nested_oof,0.5
8-12,8,12,3,1,0,0.17870908975601196,0.821290910243988,1,0,0.17870908975601196,0.32129091024398804,4,3,4,0.8290398126463701,3.6721311475409837,nested_oof,0.5
9-0,9,0,3,0,0,0.4394634366035461,0.4394634366035461,0,0,0.4394634366035461,0.06053656339645391,5,2,4,0.810304449648712,4.3629976580796255,nested_oof,0.5
9-1,9,1,3,0,0,0.4394634366035461,0.4394634366035461,0,0,0.4394634366035461,0.06053656339645391,4,3,4,0.8126463700234192,4.02576112412178,nested_oof,0.5
9-2,9,2,3,0,0,0.4394634366035461,0.4394634366035461,0,0,0.4394634366035461,0.06053656339645391,4,2,4,0.7939110070257611,3.8454332552693207,nested_oof,0.5
9-3,9,3,3,0,0,0.4394634366035461,0.4394634366035461,0,0,0.4394634366035461,0.06053656339645391,5,1,4,0.8149882903981265,3.9555035128805622,nested_oof,0.5
9-4,9,4,3,1,1,0.5605365633964539,0.4394634366035461,0,1,0.5605365633964539,0.06053656339645391,3,4,3,0.8618266978922717,4.583138173302108,nested_oof,0.5
9-5,9,5,3,1,1,0.5605365633964539,0.4394634366035461,0,1,0.5605365633964539,0.06053656339645391,4,3,3,0.7868852459016393,3.962529274004684,nested_oof,0.5
9-6,9,6,3,0,0,0.4394634366035461,0.4394634366035461,0,0,0.4394634366035461,0.06053656339645391,3,3,2,0.7915690866510539,3.7353629976580796,nested_oof,0.5
9-7,9,7,3,0,0,0.4394634366035461,0.4394634366035461,0,0,0.4394634366035461,0.06053656339645391,5,1,2,0.8407494145199064,3.540983606557377,nested_oof,0.5
9-8,9,8,3,1,1,0.5605365633964539,0.4394634366035461,0,1,0.5605365633964539,0.06053656339645391,3,2,2,0.7985948477751756,2.791569086651054,nested_oof,0.5
9-9,9,9,3,1,1,0.5605365633964539,0.4394634366035461,0,1,0.5605365633964539,0.06053656339645391,4,4,4,0.819672131147541,4.285714285714286,nested_oof,0.5
9-10,9,10,3,1,1,0.5605365633964539,0.4394634366035461,0,1,0.5605365633964539,0.06053656339645391,4,3,4,0.775175644028103,3.4988290398126463,nested_oof,0.5
9-11,9,11,3,0,0,0.4394634366035461,0.4394634366035461,0,0,0.4394634366035461,0.06053656339645391,3,3,4,0.7892271662763466,3.782201405152225,nested_oof,0.5
9-12,9,12,3,0,0,0.4394634366035461,0.4394634366035461,0,0,0.4394634366035461,0.06053656339645391,4,2,4,0.8290398126463701,3.6721311475409837,nested_oof,0.5
10-0,10,0,3,0,0,0.0812143459916114,0.0812143459916114,0,0,0.0812143459916114,0.41878565400838863,4,2,4,0.810304449648712,4.3629976580796255,nested_oof,0.5
10-1,10,1,3,1,1,0.9187856540083886,0.0812143459916114,0,1,0.9187856540083886,0.41878565400838863,2,4,4,0.8126463700234192,4.02576112412178,nested_oof,0.5
10-2,10,2,3,0,0,0.0812143459916114,0.0812143459916114,0,0,0.0812143459916114,0.41878565400838863,4,2,4,0.7939110070257611,3.8454332552693207,nested_oof,0.5
10-3,10,3,3,0,0,0.0812143459916114,0.0812143459916114,0,0,0.0812143459916114,0.41878565400838863,4,3,4,0.8149882903981265,3.9555035128805622,nested_oof,0.5
10-4,10,4,3,0,0,0.0812143459916114,0.0812143459916114,0,0,0.0812143459916114,0.41878565400838863,4,3,3,0.8618266978922717,4.583138173302108,nested_oof,0.5
10-5,10,5,3,1,1,0.9187856540083886,0.0812143459916114,0,1,0.9187856540083886,0.41878565400838863,3,4,3,0.7868852459016393,3.962529274004684,nested_oof,0.5
10-6,10,6,3,0,0,0.0812143459916114,0.0812143459916114,0,0,0.0812143459916114,0.41878565400838863,3,3,2,0.7915690866510539,3.7353629976580796,nested_oof,0.5
10-7,10,7,3,0,0,0.0812143459916114,0.0812143459916114,0,0,0.0812143459916114,0.41878565400838863,4,2,2,0.8407494145199064,3.540983606557377,nested_oof,0.5
10-8,10,8,3,1,1,0.9187856540083886,0.0812143459916114,0,1,0.9187856540083886,0.41878565400838863,2,3,2,0.7985948477751756,2.791569086651054,nested_oof,0.5
10-9,10,9,3,0,0,0.0812143459916114,0.0812143459916114,0,0,0.0812143459916114,0.41878565400838863,4,4,4,0.819672131147541,4.285714285714286,nested_oof,0.5
10-10,10,10,3,1,1,0.9187856540083886,0.0812143459916114,0,1,0.9187856540083886,0.41878565400838863,1,4,4,0.775175644028103,3.4988290398126463,nested_oof,0.5
10-11,10,11,3,0,0,0.0812143459916114,0.0812143459916114,0,0,0.0812143459916114,0.41878565400838863,2,3,4,0.7892271662763466,3.782201405152225,nested_oof,0.5
10-12,10,12,3,1,1,0.9187856540083886,0.0812143459916114,0,1,0.9187856540083886,0.41878565400838863,3,3,4,0.8290398126463701,3.6721311475409837,nested_oof,0.5
11-0,11,0,5,1,0,0.15169692039489746,0.8483030796051025,1,0,0.15169692039489746,0.34830307960510254,5,3,4,0.810304449648712,4.3629976580796255,nested_oof,0.5
11-1,11,1,5,1,0,0.15169692039489746,0.8483030796051025,1,0,0.15169692039489746,0.34830307960510254,5,2,4,0.8126463700234192,4.02576112412178,nested_oof,0.5
11-2,11,2,5,1,0,0.15169692039489746,0.8483030796051025,1,0,0.15169692039489746,0.34830307960510254,5,3,4,0.7939110070257611,3.8454332552693207,nested_oof,0.5
11-3,11,3,5,1,0,0.15169692039489746,0.8483030796051025,1,0,0.15169692039489746,0.34830307960510254,5,1,4,0.8149882903981265,3.9555035128805622,nested_oof,0.5
11-4,11,4,5,1,0,0.15169692039489746,0.8483030796051025,1,0,0.15169692039489746,0.34830307960510254,4,4,3,0.8618266978922717,4.583138173302108,nested_oof,0.5
11-5,11,5,5,1,0,0.15169692039489746,0.8483030796051025,1,0,0.15169692039489746,0.34830307960510254,3,4,3,0.7868852459016393,3.962529274004684,nested_oof,0.5
11-6,11,6,5,1,0,0.15169692039489746,0.8483030796051025,1,0,0.15169692039489746,0.34830307960510254,4,3,2,0.7915690866510539,3.7353629976580796,nested_oof,0.5
11-7,11,7,5,1,0,0.15169692039489746,0.8483030796051025,1,0,0.15169692039489746,0.34830307960510254,4,3,2,0.8407494145199064,3.540983606557377,nested_oof,0.5
11-8,11,8,5,1,0,0.15169692039489746,0.8483030796051025,1,0,0.15169692039489746,0.34830307960510254,3,3,2,0.7985948477751756,2.791569086651054,nested_oof,0.5
11-9,11,9,5,0,1,0.8483030796051025,0.8483030796051025,1,1,0.8483030796051025,0.34830307960510254,4,3,4,0.819672131147541,4.285714285714286,nested_oof,0.5
11-10,11,10,5,1,0,0.15169692039489746,0.8483030796051025,1,0,0.15169692039489746,0.34830307960510254,4,1,4,0.775175644028103,3.4988290398126463,nested_oof,0.5
11-11,11,11,5,1,0,0.15169692039489746,0.8483030796051025,1,0,0.15169692039489746,0.34830307960510254,4,2,4,0.7892271662763466,3.782201405152225,nested_oof,0.5
11-12,11,12,5,1,0,0.15169692039489746,0.8483030796051025,1,0,0.15169692039489746,0.34830307960510254,3,3,4,0.8290398126463701,3.6721311475409837,nested_oof,0.5
12-0,12,0,3,1,0,0.3398662805557251,0.6601337194442749,1,0,0.3398662805557251,0.1601337194442749,5,2,4,0.810304449648712,4.3629976580796255,nested_oof,0.5
12-1,12,1,3,1,0,0.3398662805557251,0.6601337194442749,1,0,0.3398662805557251,0.1601337194442749,3,3,4,0.8126463700234192,4.02576112412178,nested_oof,0.5
12-2,12,2,3,1,0,0.3398662805557251,0.6601337194442749,1,0,0.3398662805557251,0.1601337194442749,4,3,4,0.7939110070257611,3.8454332552693207,nested_oof,0.5
12-3,12,3,3,1,0,0.3398662805557251,0.6601337194442749,1,0,0.3398662805557251,0.1601337194442749,5,1,4,0.8149882903981265,3.9555035128805622,nested_oof,0.5
12-4,12,4,3,1,0,0.3398662805557251,0.6601337194442749,1,0,0.3398662805557251,0.1601337194442749,4,2,3,0.8618266978922717,4.583138173302108,nested_oof,0.5
12-5,12,5,3,1,0,0.3398662805557251,0.6601337194442749,1,0,0.3398662805557251,0.1601337194442749,4,3,3,0.7868852459016393,3.962529274004684,nested_oof,0.5
12-6,12,6,3,1,0,0.3398662805557251,0.6601337194442749,1,0,0.3398662805557251,0.1601337194442749,4,4,2,0.7915690866510539,3.7353629976580796,nested_oof,0.5
12-7,12,7,3,1,0,0.3398662805557251,0.6601337194442749,1,0,0.3398662805557251,0.1601337194442749,3,3,2,0.8407494145199064,3.540983606557377,nested_oof,0.5
12-8,12,8,3,1,0,0.3398662805557251,0.6601337194442749,1,0,0.3398662805557251,0.1601337194442749,2,3,2,0.7985948477751756,2.791569086651054,nested_oof,0.5
12-9,12,9,3,1,0,0.3398662805557251,0.6601337194442749,1,0,0.3398662805557251,0.1601337194442749,3,3,4,0.819672131147541,4.285714285714286,nested_oof,0.5
12-10,12,10,3,1,0,0.3398662805557251,0.6601337194442749,1,0,0.3398662805557251,0.1601337194442749,4,2,4,0.775175644028103,3.4988290398126463,nested_oof,0.5
12-11,12,11,3,1,0,0.3398662805557251,0.6601337194442749,1,0,0.3398662805557251,0.1601337194442749,4,2,4,0.7892271662763466,3.782201405152225,nested_oof,0.5
12-12,12,12,3,1,0,0.3398662805557251,0.6601337194442749,1,0,0.3398662805557251,0.1601337194442749,3,3,4,0.8290398126463701,3.6721311475409837,nested_oof,0.5
13-0,13,0,2,1,0,0.9791674092411995,0.0208325907588005,0,1,0.9791674092411995,0.4791674092411995,5,3,4,0.810304449648712,4.3629976580796255,nested_oof,0.5
