case_id,TARGET,mean_error_rating,error_above_median,stratum,fold
216,0,0.0,0,0_0,1
217,1,0.0,0,1_0,2
218,0,0.0,0,0_0,1
219,1,0.0,0,1_0,2
220,1,0.46153846153846156,1,1_1,2
221,0,0.23076923076923078,1,0_1,4
222,1,0.9230769230769231,1,1_1,4
223,1,0.3076923076923077,1,1_1,3
224,1,0.0,0,1_0,4
225,0,0.0,0,0_0,2
226,0,0.0,0,0_0,3
227,0,0.15384615384615385,1,0_1,2
228,0,0.46153846153846156,1,0_1,2
229,0,0.23076923076923078,1,0_1,3
230,1,0.0,0,1_0,4
231,1,0.07692307692307693,1,1_1,1
232,1,0.0,0,1_0,2
233,1,0.0,0,1_0,5
234,0,0.07692307692307693,1,0_1,3
235,1,0.0,0,1_0,3
236,1,1.0,1,1_1,3
237,0,0.0,0,0_0,1
238,0,0.23076923076923078,1,0_1,2
239,0,0.5384615384615384,1,0_1,4
240,0,0.0,0,0_0,1
241,1,0.0,0,1_0,5
242,1,0.07692307692307693,1,1_1,5
243,1,0.07692307692307693,1,1_1,5
244,0,0.07692307692307693,1,0_1,1
245,1,0.6153846153846154,1,1_1,5
246,1,0.6153846153846154,1,1_1,5
247,0,0.0,0,0_0,4
248,0,0.15384615384615385,1,0_1,2
249,1,0.0,0,1_0,3
250,0,0.7692307692307693,1,0_1,3
251,1,0.07692307692307693,1,1_1,4
252,0,0.15384615384615385,1,0_1,5
253,1,0.0,0,1_0,3
254,0,0.0,0,0_0,5
255,1,0.07692307692307693,1,1_1,1
256,1,0.6153846153846154,1,1_1,3
257,1,0.0,0,1_0,3
258,0,0.23076923076923078,1,0_1,5
259,1,0.0,0,1_0,1
260,1,0.07692307692307693,1,1_1,3
261,0,0.07692307692307693,1,0_1,3
262,0,0.6153846153846154,1,0_1,5
263,1,0.0,0,1_0,4
264,1,0.9230769230769231,1,1_1,4
265,1,0.07692307692307693,1,1_1,3
266,1,0.46153846153846156,1,1_1,5
267,0,0.07692307692307693,1,0_1,5
268,0,0.0,0,0_0,3
269,0,0.07692307692307693,1,0_1,3
270,1,0.07692307692307693,1,1_1,1
271,0,0.0,0,0_0,4
272,1,0.46153846153846156,1,1_1,2
273,0,0.07692307692307693,1,0_1,1
274,0,0.07692307692307693,1,0_1,1
275,0,0.3076923076923077,1,0_1,5
276,1,1.0,1,1_1,1
277,1,0.15384615384615385,1,1_1,4
278,0,0.23076923076923078,1,0_1,5
279,1,0.0,0,1_0,1
280,1,0.07692307692307693,1,1_1,3
281,1,0.0,0,1_0,4
282,0,0.23076923076923078,1,0_1,1
283,0,0.46153846153846156,1,0_1,1
284,0,0.0,0,0_0,4
285,0,0.07692307692307693,1,0_1,2
286,0,0.15384615384615385,1,0_1,3
287,1,0.5384615384615384,1,1_1,4
288,1,0.0,0,1_0,5
289,0,0.0,0,0_0,2
290,0,0.0,0,0_0,3
291,1,0.0,0,1_0,3
292,0,0.07692307692307693,1,0_1,5
293,1,0.0,0,1_0,4
294,0,0.0,0,0_0,3
295,0,0.15384615384615385,1,0_1,1
296,1,0.07692307692307693,1,1_1,3
297,0,0.0,0,0_0,3
298,1,1.0,1,1_1,5
299,0,0.3076923076923077,1,0_1,4
300,1,0.9230769230769231,1,1_1,5
301,1,0.07692307692307693,1,1_1,2
302,0,0.6923076923076923,1,0_1,4
303,1,0.07692307692307693,1,1_1,5
304,0,0.5384615384615384,1,0_1,1
305,0,0.0,0,0_0,1
306,0,0.0,0,0_0,5
307,1,0.3076923076923077,1,1_1,3
308,0,0.07692307692307693,1,0_1,3
309,1,0.07692307692307693,1,1_1,2
310,1,0.38461538461538464,1,1_1,5
311,0,0.07692307692307693,1,0_1,2
312,0,0.0,0,0_0,3
313,1,0.0,0,1_0,4
314,1,0.7692307692307693,1,1_1,1
315,1,0.0,0,1_0,2
316,1,0.0,0,1_0,2
317,1,0.0,0,1_0,1
318,0,0.0,0,0_0,1
319,0,0.0,0,0_0,2
320,0,0.38461538461538464,1,0_1,4
321,1,0.07692307692307693,1,1_1,4
322,0,0.23076923076923078,1,0_1,2
323,1,0.0,0,1_0,5
324,1,1.0,1,1_1,4
325,1,0.0,0,1_0,2
326,1,0.07692307692307693,1,1_1,4
327,0,0.07692307692307693,1,0_1,4
328,0,0.0,0,0_0,4
329,1,0.07692307692307693,1,1_1,1
330,1,0.5384615384615384,1,1_1,4
331,1,0.7692307692307693,1,1_1,4
332,0,0.0,0,0_0,3
333,1,0.3076923076923077,1,1_1,2
334,1,0.15384615384615385,1,1_1,1
335,0,0.15384615384615385,1,0_1,2
336,0,0.0,0,0_0,2
337,0,0.0,0,0_0,1
338,1,0.07692307692307693,1,1_1,5
339,1,1.0,1,1_1,4
340,1,0.07692307692307693,1,1_1,4
341,1,0.8461538461538461,1,1_1,5
342,0,0.15384615384615385,1,0_1,5
343,0,0.07692307692307693,1,0_1,2
344,0,0.0,0,0_0,2
345,0,0.0,0,0_0,2
346,0,0.07692307692307693,1,0_1,5
347,0,0.23076923076923078,1,0_1,3
348,1,0.0,0,1_0,1
349,1,0.07692307692307693,1,1_1,2
350,1,0.0,0,1_0,3
351,1,0.6923076923076923,1,1_1,4
352,0,0.0,0,0_0,3
353,1,0.07692307692307693,1,1_1,2
354,1,0.0,0,1_0,3
355,0,0.07692307692307693,1,0_1,2
356,1,0.15384615384615385,1,1_1,5
357,0,0.0,0,0_0,5
358,0,0.07692307692307693,1,0_1,3
359,1,0.07692307692307693,1,1_1,5
360,0,0.0,0,0_0,5
361,0,0.0,0,0_0,5
362,0,0.7692307692307693,1,0_1,2
363,1,0.9230769230769231,1,1_1,1
364,0,0.23076923076923078,1,0_1,5
365,0,0.15384615384615385,1,0_1,2
366,1,0.15384615384615385,1,1_1,3
367,1,0.38461538461538464,1,1_1,3
368,0,1.0,1,0_1,2
369,1,0.0,0,1_0,5
370,1,0.07692307692307693,1,1_1,2
371,1,0.07692307692307693,1,1_1,2
372,0,0.0,0,0_0,5
373,0,0.15384615384615385,1,0_1,3
374,0,0.38461538461538464,1,0_1,1
375,0,0.0,0,0_0,4
376,0,0.07692307692307693,1,0_1,2
377,0,0.0,0,0_0,4
378,0,0.0,0,0_0,2
379,0,0.07692307692307693,1,0_1,5
380,1,0.0,0,1_0,1
381,1,0.0,0,1_0,4
382,1,0.0,0,1_0,1
383,0,0.8461538461538461,1,0_1,5
384,0,0.6923076923076923,1,0_1,2
385,1,0.0,0,1_0,1
386,0,0.0,0,0_0,2
387,0,0.0,0,0_0,5
388,0,0.0,0,0_0,2
389,0,0.0,0,0_0,2
390,0,0.07692307692307693,1,0_1,5
391,0,0.23076923076923078,1,0_1,1
392,1,0.0,0,1_0,4
393,1,0.07692307692307693,1,1_1,3
394,0,0.0,0,0_0,4
395,1,0.23076923076923078,1,1_1,2
396,0,0.0,0,0_0,4
397,0,0.07692307692307693,1,0_1,2
398,0,0.6153846153846154,1,0_1,5
399,0,0.23076923076923078,1,0_1,4
400,0,0.07692307692307693,1,0_1,4
401,1,0.0,0,1_0,2
402,0,0.3076923076923077,1,0_1,4
403,1,0.23076923076923078,1,1_1,4
404,0,0.3076923076923077,1,0_1,3
405,1,0.38461538461538464,1,1_1,3
406,1,0.5384615384615384,1,1_1,4
407,0,0.3076923076923077,1,0_1,3
408,0,0.6923076923076923,1,0_1,4
409,1,0.07692307692307693,1,1_1,2
410,0,0.9230769230769231,1,0_1,5
411,1,0.07692307692307693,1,1_1,1
412,0,0.0,0,0_0,4
413,0,0.07692307692307693,1,0_1,1
414,0,0.0,0,0_0,5
415,1,0.07692307692307693,1,1_1,2
416,1,0.6153846153846154,1,1_1,2
417,0,0.07692307692307693,1,0_1,3
418,0,0.0,0,0_0,2
419,0,0.0,0,0_0,3
420,0,0.15384615384615385,1,0_1,4
421,0,0.07692307692307693,1,0_1,1
422,0,0.0,0,0_0,1
423,0,0.3076923076923077,1,0_1,3
424,0,0.07692307692307693,1,0_1,4
425,0,0.0,0,0_0,3
426,1,0.15384615384615385,1,1_1,2
427,1,0.07692307692307693,1,1_1,1
