id,case_id,rater_id,fold,rating,error-rating,q_ir,ai_probability_class_1,ai_predicted_class,rater_ai_disagreement,rating-confidence,case-difficulty,rater-expertise,d_probability_weighted,threshold_youden,d_probability_unweighted,TARGET,q_pred,d_pred_w,d_pred_u,ai_correct,rater_correct,q_correct,d_correct_w
2-1,2,1,5,0,1,0.8505421280860901,0.8505421280860901,1,1,4,2,4,0.4114167,0.372329980134964,0.18835747,1,1,0,0,1,0,1,0
2-2,2,2,5,0,1,0.8505421280860901,0.8505421280860901,1,1,5,2,4,0.07597248,0.372329980134964,0.036945995,1,1,0,0,1,0,1,0
2-3,2,3,5,1,0,0.1494578719139099,0.8505421280860901,1,0,4,3,4,0.083390586,0.372329980134964,0.040585037,1,0,0,0,1,1,1,1
2-4,2,4,5,1,0,0.1494578719139099,0.8505421280860901,1,0,3,4,3,0.034982778,0.372329980134964,0.02231549,1,0,0,0,1,1,1,1
2-5,2,5,5,0,1,0.8505421280860901,0.8505421280860901,1,1,4,4,3,0.013163262,0.372329980134964,0.013664712,1,1,0,0,1,0,1,0
2-6,2,6,5,1,0,0.1494578719139099,0.8505421280860901,1,0,4,3,2,0.094929196,0.372329980134964,0.0432405,1,0,0,0,1,1,1,1
2-7,2,7,5,0,1,0.8505421280860901,0.8505421280860901,1,1,4,3,2,0.3361459,0.372329980134964,0.1362909,1,1,0,0,1,0,1,0
2-8,2,8,5,0,1,0.8505421280860901,0.8505421280860901,1,1,3,2,2,0.18087193,0.372329980134964,0.06254242,1,1,0,0,1,0,1,0
2-9,2,9,5,1,0,0.1494578719139099,0.8505421280860901,1,0,5,3,4,0.07576784,0.372329980134964,0.022675084,1,0,0,0,1,1,1,1
2-10,2,10,5,1,0,0.1494578719139099,0.8505421280860901,1,0,3,3,4,0.009294444,0.372329980134964,0.0059195734,1,0,0,0,1,1,1,1
2-11,2,11,5,0,1,0.8505421280860901,0.8505421280860901,1,1,4,2,4,0.098411895,0.372329980134964,0.05566624,1,1,0,0,1,0,1,0
2-12,2,12,5,0,1,0.8505421280860901,0.8505421280860901,1,1,5,2,4,0.19138587,0.372329980134964,0.08617708,1,1,0,0,1,0,1,0
3-0,3,0,3,0,0,0.1497360616922378,0.1497360616922378,0,0,5,2,4,0.11440833,0.4455930888652801,0.051681608,0,0,0,0,1,1,1,1
3-1,3,1,3,0,0,0.1497360616922378,0.1497360616922378,0,0,4,2,4,0.10273482,0.4455930888652801,0.04398302,0,0,0,0,1,1,1,1
3-2,3,2,3,0,0,0.1497360616922378,0.1497360616922378,0,0,4,2,4,0.03020879,0.4455930888652801,0.015549391,0,0,0,0,1,1,1,1
3-3,3,3,3,0,0,0.1497360616922378,0.1497360616922378,0,0,4,2,4,0.35838252,0.4455930888652801,0.14407979,0,0,0,0,1,1,1,1
3-4,3,4,3,0,0,0.1497360616922378,0.1497360616922378,0,0,4,2,3,0.04118986,0.4455930888652801,0.020484384,0,0,0,0,1,1,1,1
3-5,3,5,3,0,0,0.1497360616922378,0.1497360616922378,0,0,4,3,3,0.13752355,0.4455930888652801,0.07477374,0,0,0,0,1,1,1,1
3-6,3,6,3,1,1,0.8502639383077621,0.1497360616922378,0,1,4,3,2,0.042110536,0.4455930888652801,0.02315292,0,1,0,0,1,0,1,0
3-7,3,7,3,0,0,0.1497360616922378,0.1497360616922378,0,0,5,1,2,0.055672072,0.4455930888652801,0.022755858,0,0,0,0,1,1,1,1
3-8,3,8,3,0,0,0.1497360616922378,0.1497360616922378,0,0,3,2,2,0.029639617,0.4455930888652801,0.021363355,0,0,0,0,1,1,1,1
3-9,3,9,3,0,0,0.1497360616922378,0.1497360616922378,0,0,4,3,4,0.16576041,0.4455930888652801,0.072694674,0,0,0,0,1,1,1,1
3-10,3,10,3,0,0,0.1497360616922378,0.1497360616922378,0,0,4,2,4,0.03758203,0.4455930888652801,0.01693497,0,0,0,0,1,1,1,1
3-11,3,11,3,0,0,0.1497360616922378,0.1497360616922378,0,0,4,2,4,0.030211603,0.4455930888652801,0.029486837,0,0,0,0,1,1,1,1
3-12,3,12,3,0,0,0.1497360616922378,0.1497360616922378,0,0,4,2,4,0.09492992,0.4455930888652801,0.04307217,0,0,0,0,1,1,1,1
4-0,4,0,4,0,0,0.0238545909523963,0.0238545909523963,0,0,5,2,4,0.02941616,0.5368138551712036,0.010178877,0,0,0,0,1,1,1,1
4-1,4,1,4,0,0,0.0238545909523963,0.0238545909523963,0,0,3,3,4,0.057547886,0.5368138551712036,0.022224635,0,0,0,0,1,1,1,1
4-2,4,2,4,0,0,0.0238545909523963,0.0238545909523963,0,0,5,2,4,0.1258894,0.5368138551712036,0.0381407,0,0,0,0,1,1,1,1
4-3,4,3,4,1,1,0.9761454090476036,0.0238545909523963,0,1,4,2,4,0.5896964,0.5368138551712036,0.32537556,0,1,1,0,1,0,1,1
4-4,4,4,4,0,0,0.0238545909523963,0.0238545909523963,0,0,4,3,3,0.020907762,0.5368138551712036,0.009716686,0,0,0,0,1,1,1,1
4-5,4,5,4,1,1,0.9761454090476036,0.0238545909523963,0,1,4,4,3,0.25825715,0.5368138551712036,0.16572022,0,1,0,0,1,0,1,0
4-6,4,6,4,1,1,0.9761454090476036,0.0238545909523963,0,1,4,3,2,0.38658258,0.5368138551712036,0.20740788,0,1,0,0,1,0,1,0
4-7,4,7,4,0,0,0.0238545909523963,0.0238545909523963,0,0,4,3,2,0.044980206,0.5368138551712036,0.019169744,0,0,0,0,1,1,1,1
4-8,4,8,4,1,1,0.9761454090476036,0.0238545909523963,0,1,3,3,2,0.5480024,0.5368138551712036,0.3214212,0,1,1,0,1,0,1,1
4-9,4,9,4,0,0,0.0238545909523963,0.0238545909523963,0,0,4,3,4,0.11855915,0.5368138551712036,0.043390118,0,0,0,0,1,1,1,1
4-10,4,10,4,0,0,0.0238545909523963,0.0238545909523963,0,0,3,3,4,0.02448938,0.5368138551712036,0.008484746,0,0,0,0,1,1,1,1
4-11,4,11,4,1,1,0.9761454090476036,0.0238545909523963,0,1,3,3,4,0.5277848,0.5368138551712036,0.31576192,0,1,1,0,1,0,1,1
4-12,4,12,4,1,1,0.9761454090476036,0.0238545909523963,0,1,4,3,4,0.44112965,0.5368138551712036,0.23964989,0,1,0,0,1,0,1,0
5-0,5,0,4,0,0,0.3714230954647064,0.3714230954647064,0,0,5,2,4,0.10868569,0.5368138551712036,0.0362444,0,0,0,0,1,1,1,1
5-1,5,1,4,0,0,0.3714230954647064,0.3714230954647064,0,0,4,2,4,0.20378228,0.5368138551712036,0.07116893,0,0,0,0,1,1,1,1
5-2,5,2,4,0,0,0.3714230954647064,0.3714230954647064,0,0,4,2,4,0.48802334,0.5368138551712036,0.16593538,0,0,0,0,1,1,1,1
5-3,5,3,4,0,0,0.3714230954647064,0.3714230954647064,0,0,4,3,4,0.33664107,0.5368138551712036,0.113914736,0,0,0,0,1,1,1,1
5-4,5,4,4,0,0,0.3714230954647064,0.3714230954647064,0,0,4,4,3,0.0871448,0.5368138551712036,0.037111294,0,0,0,0,1,1,1,1
5-5,5,5,4,0,0,0.3714230954647064,0.3714230954647064,0,0,4,4,3,0.09688167,0.5368138551712036,0.046259157,0,0,0,0,1,1,1,1
5-6,5,6,4,1,1,0.6285769045352936,0.3714230954647064,0,1,4,3,2,0.13381742,0.5368138551712036,0.052197207,0,1,0,0,1,0,1,0
5-7,5,7,4,0,0,0.3714230954647064,0.3714230954647064,0,0,5,2,2,0.13359118,0.5368138551712036,0.06023884,0,0,0,0,1,1,1,1
5-8,5,8,4,0,0,0.3714230954647064,0.3714230954647064,0,0,3,2,2,0.28319395,0.5368138551712036,0.123407006,0,0,0,0,1,1,1,1
5-9,5,9,4,0,0,0.3714230954647064,0.3714230954647064,0,0,4,3,4,0.39808595,0.5368138551712036,0.148454,0,0,0,0,1,1,1,1
5-10,5,10,4,0,0,0.3714230954647064,0.3714230954647064,0,0,3,2,4,0.047633722,0.5368138551712036,0.025945436,0,0,0,0,1,1,1,1
5-11,5,11,4,0,0,0.3714230954647064,0.3714230954647064,0,0,3,2,4,0.2241799,0.5368138551712036,0.09156035,0,0,0,0,1,1,1,1
5-12,5,12,4,0,0,0.3714230954647064,0.3714230954647064,0,0,4,2,4,0.18599007,0.5368138551712036,0.0734072,0,0,0,0,1,1,1,1
6-0,6,0,1,0,0,0.8920695185661316,0.8920695185661316,1,1,5,2,4,0.5362396,0.486357569694519,0.2671388,0,1,1,0,0,1,0,0
6-1,6,1,1,0,0,0.8920695185661316,0.8920695185661316,1,1,4,2,4,0.5750586,0.486357569694519,0.28558937,0,1,1,0,0,1,0,0
6-2,6,2,1,0,0,0.8920695185661316,0.8920695185661316,1,1,4,2,4,0.3949499,0.486357569694519,0.18320559,0,1,0,0,0,1,0,1
6-3,6,3,1,0,0,0.8920695185661316,0.8920695185661316,1,1,5,1,4,0.35591018,0.486357569694519,0.16254582,0,1,0,0,0,1,0,1
6-4,6,4,1,0,0,0.8920695185661316,0.8920695185661316,1,1,4,2,3,0.21204597,0.486357569694519,0.10881104,0,1,0,0,0,1,0,1
6-5,6,5,1,0,0,0.8920695185661316,0.8920695185661316,1,1,4,3,3,0.28368682,0.486357569694519,0.12745713,0,1,0,0,0,1,0,1
6-6,6,6,1,1,1,0.1079304814338684,0.8920695185661316,1,0,4,3,2,0.03967327,0.486357569694519,0.01486661,0,0,0,0,0,0,0,0
6-7,6,7,1,0,0,0.8920695185661316,0.8920695185661316,1,1,4,3,2,0.38934934,0.486357569694519,0.17324099,0,1,0,0,0,1,0,1
6-8,6,8,1,0,0,0.8920695185661316,0.8920695185661316,1,1,3,2,2,0.20955418,0.486357569694519,0.09527633,0,1,0,0,0,1,0,1
6-9,6,9,1,0,0,0.8920695185661316,0.8920695185661316,1,1,4,3,4,0.60714054,0.486357569694519,0.30245537,0,1,1,0,0,1,0,0
6-10,6,10,1,1,1,0.1079304814338684,0.8920695185661316,1,0,3,3,4,0.029970761,0.486357569694519,0.011320754,0,0,0,0,0,0,0,0
6-11,6,11,1,1,1,0.1079304814338684,0.8920695185661316,1,0,2,3,4,0.07252394,0.486357569694519,0.032620773,0,0,0,0,0,0,0,0
6-12,6,12,1,0,0,0.8920695185661316,0.8920695185661316,1,1,5,2,4,0.2356142,0.486357569694519,0.106709726,0,1,0,0,0,1,0,1
7-0,7,0,4,0,0,0.0423028357326984,0.0423028357326984,0,0,5,2,4,0.041452788,0.5368138551712036,0.013222996,0,0,0,0,1,1,1,1
7-1,7,1,4,0,0,0.0423028357326984,0.0423028357326984,0,0,4,2,4,0.069111854,0.5368138551712036,0.02457392,0,0,0,0,1,1,1,1
7-2,7,2,4,0,0,0.0423028357326984,0.0423028357326984,0,0,4,2,4,0.21495746,0.5368138551712036,0.06182707,0,0,0,0,1,1,1,1
7-3,7,3,4,0,0,0.0423028357326984,0.0423028357326984,0,0,4,3,4,0.16354446,0.5368138551712036,0.04440409,0,0,0,0,1,1,1,1
7-4,7,4,4,0,0,0.0423028357326984,0.0423028357326984,0,0,4,3,3,0.03217557,0.5368138551712036,0.0132992305,0,0,0,0,1,1,1,1
7-5,7,5,4,0,0,0.0423028357326984,0.0423028357326984,0,0,4,3,3,0.03279666,0.5368138551712036,0.016513053,0,0,0,0,1,1,1,1
7-6,7,6,4,1,1,0.9576971642673016,0.0423028357326984,0,1,3,3,2,0.29953578,0.5368138551712036,0.13798809,0,1,0,0,1,0,1,0
7-7,7,7,4,0,0,0.0423028357326984,0.0423028357326984,0,0,5,2,2,0.040513325,0.5368138551712036,0.01862544,0,0,0,0,1,1,1,1
7-8,7,8,4,0,0,0.0423028357326984,0.0423028357326984,0,0,2,2,2,0.10439328,0.5368138551712036,0.03860702,0,0,0,0,1,1,1,1
7-9,7,9,4,0,0,0.0423028357326984,0.0423028357326984,0,0,4,3,4,0.1731472,0.5368138551712036,0.058652736,0,0,0,0,1,1,1,1
7-10,7,10,4,1,1,0.9576971642673016,0.0423028357326984,0,1,2,3,4,0.111858174,0.5368138551712036,0.07812474,0,1,0,0,1,0,1,0
7-11,7,11,4,0,0,0.0423028357326984,0.0423028357326984,0,0,4,2,4,0.07952117,0.5368138551712036,0.028594023,0,0,0,0,1,1,1,1
7-12,7,12,4,0,0,0.0423028357326984,0.0423028357326984,0,0,4,2,4,0.075320326,0.5368138551712036,0.024570333,0,0,0,0,1,1,1,1
8-0,8,0,3,1,0,0.1787090897560119,0.821290910243988,1,0,4,3,4,0.086463295,0.4455930888652801,0.043414883,1,0,0,0,1,1,1,1
8-1,8,1,3,1,0,0.1787090897560119,0.821290910243988,1,0,3,4,4,0.07999496,0.4455930888652801,0.030106865,1,0,0,0,1,1,1,1
8-2,8,2,3,1,0,0.1787090897560119,0.821290910243988,1,0,5,3,4,0.015110362,0.4455930888652801,0.008242332,1,0,0,0,1,1,1,1
8-3,8,3,3,1,0,0.1787090897560119,0.821290910243988,1,0,5,1,4,0.17263654,0.4455930888652801,0.0662921,1,0,0,0,1,1,1,1
8-4,8,4,3,1,0,0.1787090897560119,0.821290910243988,1,0,4,3,3,0.025478078,0.4455930888652801,0.013195648,1,0,0,0,1,1,1,1
8-5,8,5,3,1,0,0.1787090897560119,0.821290910243988,1,0,4,4,3,0.08746497,0.4455930888652801,0.048750505,1,0,0,0,1,1,1,1
8-6,8,6,3,1,0,0.1787090897560119,0.821290910243988,1,0,4,2,2,0.017085647,0.4455930888652801,0.009114757,1,0,0,0,1,1,1,1
8-7,8,7,3,1,0,0.1787090897560119,0.821290910243988,1,0,5,2,2,0.049124684,0.4455930888652801,0.019667063,1,0,0,0,1,1,1,1
8-8,8,8,3,1,0,0.1787090897560119,0.821290910243988,1,0,3,2,2,0.020561928,0.4455930888652801,0.014191632,1,0,0,0,1,1,1,1
8-9,8,9,3,1,0,0.1787090897560119,0.821290910243988,1,0,4,3,4,0.106871605,0.4455930888652801,0.04596939,1,0,0,0,1,1,1,1
8-10,8,10,3,1,0,0.1787090897560119,0.821290910243988,1,0,3,2,4,0.029829843,0.4455930888652801,0.012039291,1,0,0,0,1,1,1,1
8-11,8,11,3,1,0,0.1787090897560119,0.821290910243988,1,0,4,2,4,0.018415477,0.4455930888652801,0.018497977,1,0,0,0,1,1,1,1
8-12,8,12,3,1,0,0.1787090897560119,0.821290910243988,1,0,4,3,4,0.058826406,0.4455930888652801,0.02706696,1,0,0,0,1,1,1,1
9-0,9,0,3,0,0,0.4394634366035461,0.4394634366035461,0,0,5,2,4,0.14449358,0.4455930888652801,0.06183992,0,0,0,0,1,1,1,1
9-1,9,1,3,0,0,0.4394634366035461,0.4394634366035461,0,0,4,3,4,0.14849369,0.4455930888652801,0.06155921,0,0,0,0,1,1,1,1
9-2,9,2,3,0,0,0.4394634366035461,0.4394634366035461,0,0,4,2,4,0.038775448,0.4455930888652801,0.018300314,0,0,0,0,1,1,1,1
9-3,9,3,3,0,0,0.4394634366035461,0.4394634366035461,0,0,5,1,4,0.2902066,0.4455930888652801,0.10973197,0,0,0,0,1,1,1,1
9-4,9,4,3,1,1,0.5605365633964539,0.4394634366035461,0,1,3,4,3,0.10317342,0.4455930888652801,0.043997757,0,1,0,0,1,0,1,0
9-5,9,5,3,1,1,0.5605365633964539,0.4394634366035461,0,1,4,3,3,0.20175771,0.4455930888652801,0.11249044,0,1,0,0,1,0,1,0
9-6,9,6,3,0,0,0.4394634366035461,0.4394634366035461,0,0,3,3,2,0.045095965,0.4455930888652801,0.020750796,0,0,0,0,1,1,1,1
9-7,9,7,3,0,0,0.4394634366035461,0.4394634366035461,0,0,5,1,2,0.07225591,0.4455930888652801,0.028534528,0,0,0,0,1,1,1,1
9-8,9,8,3,1,1,0.5605365633964539,0.4394634366035461,0,1,3,2,2,0.055450622,0.4455930888652801,0.036274944,0,1,0,0,1,0,1,0
9-9,9,9,3,1,1,0.5605365633964539,0.4394634366035461,0,1,4,4,4,0.24815324,0.4455930888652801,0.10886885,0,1,0,0,1,0,1,0
9-10,9,10,3,1,1,0.5605365633964539,0.4394634366035461,0,1,4,3,4,0.030497823,0.4455930888652801,0.02202213,0,1,0,0,1,0,1,0
9-11,9,11,3,0,0,0.4394634366035461,0.4394634366035461,0,0,3,3,4,0.059202496,0.4455930888652801,0.04415874,0,0,0,0,1,1,1,1
9-12,9,12,3,0,0,0.4394634366035461,0.4394634366035461,0,0,4,2,4,0.14594872,0.4455930888652801,0.059333593,0,0,0,0,1,1,1,1
10-0,10,0,3,0,0,0.0812143459916114,0.0812143459916114,0,0,4,2,4,0.1497057,0.4455930888652801,0.08257206,0,0,0,0,1,1,1,1
10-1,10,1,3,1,1,0.9187856540083886,0.0812143459916114,0,1,2,4,4,0.25381777,0.4455930888652801,0.12912753,0,1,0,0,1,0,1,0
10-2,10,2,3,0,0,0.0812143459916114,0.0812143459916114,0,0,4,2,4,0.033419795,0.4455930888652801,0.019278575,0,0,0,0,1,1,1,1
10-3,10,3,3,0,0,0.0812143459916114,0.0812143459916114,0,0,4,3,4,0.3827104,0.4455930888652801,0.1744654,0,0,0,0,1,1,1,1
10-4,10,4,3,0,0,0.0812143459916114,0.0812143459916114,0,0,4,3,3,0.045513317,0.4455930888652801,0.024878934,0,0,0,0,1,1,1,1
10-5,10,5,3,1,1,0.9187856540083886,0.0812143459916114,0,1,3,4,3,0.3060715,0.4455930888652801,0.19502924,0,1,0,0,1,0,1,0
10-6,10,6,3,0,0,0.0812143459916114,0.0812143459916114,0,0,3,3,2,0.035733044,0.4455930888652801,0.019386157,0,0,0,0,1,1,1,1
10-7,10,7,3,0,0,0.0812143459916114,0.0812143459916114,0,0,4,2,2,0.0937736,0.4455930888652801,0.04768537,0,0,0,0,1,1,1,1
10-8,10,8,3,1,1,0.9187856540083886,0.0812143459916114,0,1,2,3,2,0.07808941,0.4455930888652801,0.061567873,0,1,0,0,1,0,1,0
10-9,10,9,3,0,0,0.0812143459916114,0.0812143459916114,0,0,4,4,4,0.18253253,0.4455930888652801,0.08804535,0,0,0,0,1,1,1,1
10-10,10,10,3,1,1,0.9187856540083886,0.0812143459916114,0,1,1,4,4,0.05312011,0.4455930888652801,0.038122352,0,1,0,0,1,0,1,0
10-11,10,11,3,0,0,0.0812143459916114,0.0812143459916114,0,0,2,3,4,0.042916834,0.4455930888652801,0.042546935,0,0,0,0,1,1,1,1
10-12,10,12,3,1,1,0.9187856540083886,0.0812143459916114,0,1,3,3,4,0.21597809,0.4455930888652801,0.10506254,0,1,0,0,1,0,1,0
11-0,11,0,5,1,0,0.1516969203948974,0.8483030796051025,1,0,5,3,4,0.027725143,0.372329980134964,0.009802885,1,0,0,0,1,1,1,1
11-1,11,1,5,1,0,0.1516969203948974,0.8483030796051025,1,0,5,2,4,0.07415776,0.372329980134964,0.021485643,1,0,0,0,1,1,1,1
11-2,11,2,5,1,0,0.1516969203948974,0.8483030796051025,1,0,5,3,4,0.013863075,0.372329980134964,0.0063256454,1,0,0,0,1,1,1,1
11-3,11,3,5,1,0,0.1516969203948974,0.8483030796051025,1,0,5,1,4,0.070718795,0.372329980134964,0.03094541,1,0,0,0,1,1,1,1
11-4,11,4,5,1,0,0.1516969203948974,0.8483030796051025,1,0,4,4,3,0.027658343,0.372329980134964,0.015684593,1,0,0,0,1,1,1,1
11-5,11,5,5,1,0,0.1516969203948974,0.8483030796051025,1,0,3,4,3,0.008335653,0.372329980134964,0.005149786,1,0,0,0,1,1,1,1
11-6,11,6,5,1,0,0.1516969203948974,0.8483030796051025,1,0,4,3,2,0.094929196,0.372329980134964,0.0432405,1,0,0,0,1,1,1,1
11-7,11,7,5,1,0,0.1516969203948974,0.8483030796051025,1,0,4,3,2,0.07320051,0.372329980134964,0.02266704,1,0,0,0,1,1,1,1
11-8,11,8,5,1,0,0.1516969203948974,0.8483030796051025,1,0,3,3,2,0.03849442,0.372329980134964,0.010673664,1,0,0,0,1,1,1,1
11-9,11,9,5,0,1,0.8483030796051025,0.8483030796051025,1,1,4,3,4,0.42131707,0.372329980134964,0.19930036,1,1,0,0,1,0,1,0
11-10,11,10,5,1,0,0.1516969203948974,0.8483030796051025,1,0,4,1,4,0.006980101,0.372329980134964,0.0044807508,1,0,0,0,1,1,1,1
11-11,11,11,5,1,0,0.1516969203948974,0.8483030796051025,1,0,4,2,4,0.015699655,0.372329980134964,0.007881541,1,0,0,0,1,1,1,1
11-12,11,12,5,1,0,0.1516969203948974,0.8483030796051025,1,0,3,3,4,0.08405926,0.372329980134964,0.024996277,1,0,0,0,1,1,1,1
12-0,12,0,3,1,0,0.3398662805557251,0.6601337194442749,1,0,5,2,4,0.11157081,0.4455930888652801,0.05186093,1,0,0,0,1,1,1,1
12-1,12,1,3,1,0,0.3398662805557251,0.6601337194442749,1,0,3,3,4,0.14701426,0.4455930888652801,0.058844183,1,0,0,0,1,1,1,1
12-2,12,2,3,1,0,0.3398662805557251,0.6601337194442749,1,0,4,3,4,0.029000517,0.4455930888652801,0.015712423,1,0,0,0,1,1,1,1
12-3,12,3,3,1,0,0.3398662805557251,0.6601337194442749,1,0,5,1,4,0.2439924,0.4455930888652801,0.09482066,1,0,0,0,1,1,1,1
12-4,12,4,3,1,0,0.3398662805557251,0.6601337194442749,1,0,4,2,3,0.0573598,0.4455930888652801,0.026030432,1,0,0,0,1,1,1,1
12-5,12,5,3,1,0,0.3398662805557251,0.6601337194442749,1,0,4,3,3,0.16067167,0.4455930888652801,0.08989553,1,0,0,0,1,1,1,1
12-6,12,6,3,1,0,0.3398662805557251,0.6601337194442749,1,0,4,4,2,0.02744684,0.4455930888652801,0.014820115,1,0,0,0,1,1,1,1
12-7,12,7,3,1,0,0.3398662805557251,0.6601337194442749,1,0,3,3,2,0.1365571,0.4455930888652801,0.05740905,1,0,0,0,1,1,1,1
12-8,12,8,3,1,0,0.3398662805557251,0.6601337194442749,1,0,2,3,2,0.04851847,0.4455930888652801,0.04081676,1,0,0,0,1,1,1,1
12-9,12,9,3,1,0,0.3398662805557251,0.6601337194442749,1,0,3,3,4,0.24392624,0.4455930888652801,0.09779598,1,0,0,0,1,1,1,1
12-10,12,10,3,1,0,0.3398662805557251,0.6601337194442749,1,0,4,2,4,0.023788044,0.4455930888652801,0.017167993,1,0,0,0,1,1,1,1
12-11,12,11,3,1,0,0.3398662805557251,0.6601337194442749,1,0,4,2,4,0.03702478,0.4455930888652801,0.03562156,1,0,0,0,1,1,1,1
12-12,12,12,3,1,0,0.3398662805557251,0.6601337194442749,1,0,3,3,4,0.14511022,0.4455930888652801,0.061191168,1,0,0,0,1,1,1,1
13-0,13,0,2,1,0,0.9791674092411996,0.0208325907588005,0,1,5,3,4,0.29686064,0.4492360949516296,0.14704342,1,1,0,0,0,1,0,1
13-1,13,1,2,1,0,0.9791674092411996,0.0208325907588005,0,1,4,3,4,0.59101874,0.4492360949516296,0.39552832,1,1,1,0,0,1,0,0
13-2,13,2,2,1,0,0.9791674092411996,0.0208325907588005,0,1,5,4,4,0.5719311,0.4492360949516296,0.29756364,1,1,1,0,0,1,0,0
13-3,13,3,2,1,0,0.9791674092411996,0.0208325907588005,0,1,4,4,4,0.74182534,0.4492360949516296,0.4583542,1,1,1,0,0,1,0,0
13-4,13,4,2,1,0,0.9791674092411996,0.0208325907588005,0,1,4,4,3,0.3439841,0.4492360949516296,0.16766466,1,1,0,0,0,1,0,1
13-5,13,5,2,1,0,0.9791674092411996,0.0208325907588005,0,1,3,4,3,0.42803553,0.4492360949516296,0.318833,1,1,0,0,0,1,0,1
13-6,13,6,2,1,0,0.9791674092411996,0.0208325907588005,0,1,4,3,2,0.10942518,0.4492360949516296,0.083083175,1,1,0,0,0,1,0,1
13-7,13,7,2,1,0,0.9791674092411996,0.0208325907588005,0,1,4,3,2,0.3750146,0.4492360949516296,0.2059957,1,1,0,0,0,1,0,1
13-8,13,8,2,1,0,0.9791674092411996,0.0208325907588005,0,1,3,3,2,0.762783,0.4492360949516296,0.5065527,1,1,1,1,0,1,0,0
13-9,13,9,2,1,0,0.9791674092411996,0.0208325907588005,0,1,4,3,4,0.7128196,0.4492360949516296,0.4656079,1,1,1,0,0,1,0,0
13-10,13,10,2,1,0,0.9791674092411996,0.0208325907588005,0,1,4,2,4,0.12787366,0.4492360949516296,0.07496142,1,1,0,0,0,1,0,1
13-11,13,11,2,1,0,0.9791674092411996,0.0208325907588005,0,1,3,3,4,0.1568194,0.4492360949516296,0.09416954,1,1,0,0,0,1,0,1
13-12,13,12,2,1,0,0.9791674092411996,0.0208325907588005,0,1,3,3,4,0.43277082,0.4492360949516296,0.26190805,1,1,0,0,0,1,0,1
14-0,14,0,4,1,0,0.0515987873077391,0.9484012126922609,1,0,5,3,4,0.06694478,0.5368138551712036,0.02044595,1,0,0,0,1,1,1,1
14-1,14,1,4,1,0,0.0515987873077391,0.9484012126922609,1,0,4,3,4,0.1109804,0.5368138551712036,0.03613071,1,0,0,0,1,1,1,1
14-2,14,2,4,1,0,0.0515987873077391,0.9484012126922609,1,0,5,4,4,0.27077883,0.5368138551712036,0.07645786,1,0,0,0,1,1,1,1
14-3,14,3,4,1,0,0.0515987873077391,0.9484012126922609,1,0,5,1,4,0.15621954,0.5368138551712036,0.040248964,1,0,0,0,1,1,1,1
14-4,14,4,4,1,0,0.0515987873077391,0.9484012126922609,1,0,4,3,3,0.04474841,0.5368138551712036,0.0178068,1,0,0,0,1,1,1,1
